Date;Temperature;Humidity;Light;CO2;HumidityRatio;Occupancy
04.02.2015 17:51;23.18;27.272;426;721.25;0.00479298817650529;1
04.02.2015 17:51;23.15;27.2675;429.5;714;0.00478344094931065;1
04.02.2015 17:53;23.15;27.245;426;713.5;0.00477946352442199;1
04.02.2015 17:54;23.15;27.II;426;708.25;0.00477150882608175;1
04.02.2015 17:55;23.I;27.II;426;704.5;0.00475699293331518;1
04.02.2015 17:55;23.I;27.II;419;701;0.00475699293331518;1
04.02.2015 17:57;23.I;27.II;419;701.666666666667;0.00475699293331518;1
04.02.2015 17:57;23.I;27.II;419;699;0.00475699293331518;1
04.02.2015 17:58;23.I;27.II;419;689.333333333333;0.00475699293331518;1
04.02.2015 18:00;23.075;27.175;419;688;0.00474535071966655;1
04.02.2015 18:01;23.075;27.15;419;690.25;0.00474095189694268;1
04.02.2015 18:02;23.I;27.I;419;691;0.00473937073052061;1
04.02.2015 18:03;23.I;27.1666666666667;419;683.5;0.00475111875560951;1
04.02.2015 18:04;23.V;27.15;419;687.5;0.0047337317970825;1
04.02.2015 18:04;23;27.125;419;686;0.00471494214590473;1
04.02.2015 18:06;23;27.125;418.5;680.5;0.00471494214590473;1
04.02.2015 18:07;23;27.II;0;681.5;0.00472807794966877;0
04.02.2015 18:08;22.945;27.29;0;685;0.00472795137178073;0
04.02.2015 18:08;22.945;27.39;0;685;0.0047454083970941;0
04.02.2015 18:10;22.89;27.39;0;689;0.00472950615591001;0
04.02.2015 18:10;22.89;27.39;0;689.5;0.00472950615591001;0
04.02.2015 18:11;22.89;27.39;0;689;0.00472950615591001;0
04.02.2015 18:13;22.89;27.445;0;691;0.00473907551474663;0
04.02.2015 18:14;22.89;27.V;0;688;0.00474864516581148;0
04.02.2015 18:15;22.89;27.V;0;689.5;0.00474864516581148;0
04.02.2015 18:16;22.79;27.445;0;689;0.00471022404680625;0
04.02.2015 18:16;22.79;27.V;0;685.666666666667;0.00471973499914952;0
04.02.2015 18:17;22.79;27.V;0;687;0.00471973499914952;0
04.02.2015 18:19;22.79;27.V;0;688;0.00471973499914952;0
04.02.2015 18:20;22.745;27.V;0;670;0.0047067761580489;0
04.02.2015 18:21;22.VII;27.4633333333333;0;668.666666666667;0.00468754308384392;0
04.02.2015 18:22;22.VII;27.V;0;670;0.00469384871410812;0
04.02.2015 18:23;22.VII;27.V;0;667;0.00469384871410812;0
04.02.2015 18:23;22.6666666666667;27.4266666666667;0;664.5;0.00467170776461751;0
04.02.2015 18:24;22.VII;27.VI;0;670;0.00471104653252311;0
04.02.2015 18:26;22.VI;27.4266666666667;0;670.333333333333;0.00465269945869772;0
04.02.2015 18:27;22.VI;27.39;0;672;0.0046464328065348;0
04.02.2015 18:28;22.VI;27.3566666666667;0;658;0.00464073595878431;0
04.02.2015 18:29;22.VI;27.445;0;660.5;0.00465583283178072;0
04.02.2015 18:29;22.VI;27.4266666666667;0;658;0.00465269945869772;0
04.02.2015 18:30;22.VI;27.445;0;655;0.00465583283178072;0
04.02.2015 18:32;22.VI;27.445;0;654.25;0.00465583283178072;0
04.02.2015 18:33;22.VI;27.39;0;648;0.0046464328065348;0
04.02.2015 18:34;22.V;27.3233333333333;0;648.666666666667;0.00460676320297832;0
04.02.2015 18:35;22.V;27.445;0;646;0.00462742903214501;0
04.02.2015 18:36;22.V;27.V;0;646;0.00463677156669758;0
04.02.2015 18:36;22.V;27.445;0;641.5;0.00462742903214501;0
04.02.2015 18:38;22.39;27.29;0;639;0.00457021208799111;0
04.02.2015 18:39;22.V;27.V;0;640;0.00463677156669758;0
04.02.2015 18:40;22.39;27.34;0;630.5;0.00457864714513976;0
04.02.2015 18:40;22.39;27.3566666666667;0;629.333333333333;0.0045814588813251;0
04.02.2015 18:42;22.39;27.V;0;632;0.00460564085426059;0
04.02.2015 18:42;22.39;27.V;0;636.5;0.00460564085426059;0
04.02.2015 18:43;22.39;27.V;0;627.5;0.00460564085426059;0
04.02.2015 18:45;22.39;27.39;0;626;0.0045870824294015;0
04.02.2015 18:46;22.39;27.V;0;625.5;0.00460564085426059;0
04.02.2015 18:47;22.34;27.39;0;623.5;0.00457305034947982;0
04.02.2015 18:48;22.39;27.4633333333333;0;624.666666666667;0.00459945459049356;0
04.02.2015 18:49;22.39;27.39;0;622;0.0045870824294015;0
04.02.2015 18:49;22.29;27.39;0;621;0.00455905614852278;0
04.02.2015 18:51;22.34;27.39;0;626.5;0.00457305034947982;0
04.02.2015 18:52;22.29;27.39;0;622;0.00455905614852278;0
04.02.2015 18:53;22.39;27.39;0;620;0.0045870824294015;0
04.02.2015 18:53;22.29;27.39;0;621.5;0.00455905614852278;0
04.02.2015 18:55;22.29;27.3566666666667;0;616.333333333333;0.00455346720904263;0
04.02.2015 18:55;22.29;27.34;0;609;0.00455067277669262;0
04.02.2015 18:56;22.29;27.39;0;614;0.00455905614852278;0
04.02.2015 18:58;22.29;27.34;0;613.5;0.00455067277669262;0
04.02.2015 18:59;22.29;27.34;0;611;0.00455067277669262;0
04.02.2015 19:00;22.29;27.39;0;612;0.00455905614852278;0
04.02.2015 19:01;22.29;27.29;0;608;0.00454228962919881;0
04.02.2015 19:01;22.29;27.29;0;605.5;0.00454228962919881;0
04.02.2015 19:02;22.2675;27.315;0;608.5;0.00454021358023024;0
04.02.2015 19:04;22.II;27.29;0;608.5;0.00451728819349999;0
04.02.2015 19:05;22.245;27.29;0;602.5;0.00452977369585959;0
04.02.2015 19:06;22.II;27.29;0;598;0.00451728819349999;0
04.02.2015 19:07;22.II;27.29;0;595;0.00451728819349999;0
04.02.2015 19:08;22.II;27.29;0;591;0.00451728819349999;0
